School_Type,Division,name,ESPN_Name,address,member
Public,NCAA D1,New Jersey Institute of Technology,NJIT Highlanders,"Newark, New Jersey",America East Conference
Public,NCAA D1,SUNY Binghamton University,Binghamton Bearcats,"Vestal, New York",America East Conference
Public,NCAA D1,SUNY University at Albany,UAlbany Great Danes,"Albany, New York",America East Conference
Public,NCAA D1,University of Maine,Maine Black Bears,"Orono, Maine",America East Conference
Public,NCAA D1,University of Maryland at Baltimore County,UMBC Retrievers,"Baltimore, Maryland",America East Conference
Public,NCAA D1,University of Massachusetts at Lowell,UMass Lowell River Hawks,"Lowell, Massachusetts",America East Conference
Public,NCAA D1,University of New Hampshire,New Hampshire Wildcats,"Durham, New Hampshire",America East Conference
Public,NCAA D1,University of Vermont,Vermont Catamounts,"Burlington, Vermont",America East Conference
Public,NCAA D1,East Carolina University,East Carolina Pirates,"Greenville, North Carolina",American Athletic Conference
Public,NCAA D1,Temple University,Temple Owls,"Philadelphia, Pennsylvania",American Athletic Conference
Public,NCAA D1,University of Central Florida,UCF Knights,"Orlando, Florida",American Athletic Conference
Public,NCAA D1,University of Cincinnati,Cincinnati Bearcats,"Cincinnati, Ohio",American Athletic Conference
Public,NCAA D1,University of Houston,Houston Cougars,"Houston, Texas",American Athletic Conference
Public,NCAA D1,University of Memphis,Memphis Tigers,"Memphis, Tennessee",American Athletic Conference
Public,NCAA D1,University of South Florida,South Florida Bulls,"Tampa, Florida",American Athletic Conference
Public,NCAA D1,Wichita State University,Wichita State Shockers,"Wichita, Kansas",American Athletic Conference
Public,NCAA D1,Austin Peay State University,Austin Peay Governors,"Clarksville, Tennessee",ASUN Conference
Public,NCAA D1,Eastern Kentucky University,Eastern Kentucky Colonels,"Richmond, Kentucky",ASUN Conference
Public,NCAA D1,Florida Gulf Coast University,Florida Gulf Coast Eagles,"Fort Myers, Florida",ASUN Conference
Public,NCAA D1,Jacksonville State University,Jacksonville State Gamecocks,"Jacksonville, Alabama",ASUN Conference
Public,NCAA D1,Kennesaw State University,Kennesaw State Owls,"Kennesaw, Georgia",ASUN Conference
Public,NCAA D1,University of Central Arkansas,Central Arkansas Bears,"Conway, Arkansas",ASUN Conference
Public,NCAA D1,University of North Alabama,North Alabama Lions,"Florence, Alabama",ASUN Conference
Public,NCAA D1,University of North Florida,North Florida Ospreys,"Jacksonville, Florida",ASUN Conference
Public,NCAA D1,George Mason University,George Mason Patriots,"Fairfax, Virginia",Atlantic 10 Conference
Public,NCAA D1,University of Massachusetts at Amherst,Massachusetts Minutemen,"Amherst, Massachusetts",Atlantic 10 Conference
Public,NCAA D1,University of Rhode Island,Rhode Island Rams,"Kingston, Rhode Island",Atlantic 10 Conference
Public,NCAA D1,Virginia Commonwealth University,VCU Rams,"Richmond, Virginia",Atlantic 10 Conference
Public,NCAA D1,Clemson University,Clemson Tigers,"Clemson, South Carolina",Atlantic Coast Conference
Public,NCAA D1,Florida State University,Florida State Seminoles,"Tallahassee, Florida",Atlantic Coast Conference
Public,NCAA D1,Georgia Tech,Georgia Tech Yellow Jackets,"Atlanta, Georgia",Atlantic Coast Conference
Public,NCAA D1,North Carolina State University,NC State Wolfpack,"Raleigh, North Carolina",Atlantic Coast Conference
Public,NCAA D1,University of Louisville,Louisville Cardinals,"Louisville, Kentucky",Atlantic Coast Conference
Public,NCAA D1,University of North Carolina at Chapel Hill,North Carolina Tar Heels,"Chapel Hill, North Carolina",Atlantic Coast Conference
Public,NCAA D1,University of Pittsburgh,Pittsburgh Panthers,"Pittsburgh, Pennsylvania",Atlantic Coast Conference
Public,NCAA D1,University of Virginia,Virginia Cavaliers,"Charlottesville, Virginia",Atlantic Coast Conference
Public,NCAA D1,Virginia Tech,Virginia Tech Hokies,"Blacksburg, Virginia",Atlantic Coast Conference
Public,NCAA D1,Iowa State University,Iowa State Cyclones,"Ames, Iowa",Big 12 Conference
Public,NCAA D1,Kansas State University,Kansas State Wildcats,"Manhattan, Kansas",Big 12 Conference
Public,NCAA D1,Oklahoma State University,Oklahoma State Cowboys,"Stillwater, Oklahoma",Big 12 Conference
Public,NCAA D1,Texas Tech University,Texas Tech Red Raiders,"Lubbock, Texas",Big 12 Conference
Public,NCAA D1,University of Kansas,Kansas Jayhawks,"Lawrence, Kansas",Big 12 Conference
Public,NCAA D1,University of Oklahoma,Oklahoma Sooners,"Norman, Oklahoma",Big 12 Conference
Public,NCAA D1,University of Texas at Austin,Texas Longhorns,"Austin, Texas",Big 12 Conference
Public,NCAA D1,West Virginia University,West Virginia Mountaineers,"Morgantown, West Virginia",Big 12 Conference
Public,NCAA D1,University of Connecticut,UConn Huskies,"Storrs, Connecticut",Big East Conference
Public,NCAA D1,California State University at Sacramento,Sacramento State Hornets,"Sacramento, California",Big Sky Conference
Public,NCAA D1,Eastern Washington University,Eastern Washington Eagles,"Cheney, Washington",Big Sky Conference
Public,NCAA D1,Idaho State University,Idaho State Bengals,"Pocatello, Idaho",Big Sky Conference
Public,NCAA D1,Montana State University,Montana State Bobcats,"Bozeman, Montana",Big Sky Conference
Public,NCAA D1,Northern Arizona University,Northern Arizona Lumberjacks,"Flagstaff, Arizona",Big Sky Conference
Public,NCAA D1,Portland State University,Portland State Vikings,"Portland, Oregon",Big Sky Conference
Public,NCAA D1,University of Idaho,Idaho Vandals,"Moscow, Idaho",Big Sky Conference
Public,NCAA D1,University of Montana,Montana Grizzlies,"Missoula, Montana",Big Sky Conference
Public,NCAA D1,University of Northern Colorado,Northern Colorado Bears,"Greeley, Colorado",Big Sky Conference
Public,NCAA D1,Weber State University,Weber State Wildcats,"Ogden, Utah",Big Sky Conference
Public,NCAA D1,Longwood University,Longwood Lancers,"Farmville, Virginia",Big South Conference
Public,NCAA D1,Radford University,Radford Highlanders,"Radford, Virginia",Big South Conference
Public,NCAA D1,University of North Carolina Asheville,UNC Asheville Bulldogs,"Asheville, North Carolina",Big South Conference
Public,NCAA D1,University of South Carolina at Upstate,South Carolina Upstate Spartans,"Spartanburg, South Carolina",Big South Conference
Public,NCAA D1,Winthrop University,Winthrop Eagles,"Rock Hill, South Carolina",Big South Conference
Public,NCAA D1,Indiana University,Indiana Hoosiers,"Bloomington, Indiana",Big Ten Conference
Public,NCAA D1,Michigan State University,Michigan State Spartans,"East Lansing, Michigan",Big Ten Conference
Public,NCAA D1,Ohio State University,Ohio State Buckeyes,"Columbus, Ohio",Big Ten Conference
Public,NCAA D1,Penn State,Penn State Nittany Lions,"University Park, Pennsylvania",Big Ten Conference
Public,NCAA D1,Purdue University,Purdue Boilermakers,"West Lafayette, Indiana",Big Ten Conference
Public,NCAA D1,Rutgers University,Rutgers Scarlet Knights,"Piscataway, New Jersey",Big Ten Conference
Public,NCAA D1,University of Illinois,Illinois Fighting Illini,"Champaign, Illinois",Big Ten Conference
Public,NCAA D1,University of Iowa,Iowa Hawkeyes,"Iowa City, Iowa",Big Ten Conference
Public,NCAA D1,University of Maryland,Maryland Terrapins,"College Park, Maryland",Big Ten Conference
Public,NCAA D1,University of Michigan,Michigan Wolverines,"Ann Arbor, Michigan",Big Ten Conference
Public,NCAA D1,University of Minnesota,Minnesota Golden Gophers,"Minneapolis, Minnesota",Big Ten Conference
Public,NCAA D1,University of Nebraska,Nebraska Cornhuskers,"Lincoln, Nebraska",Big Ten Conference
Public,NCAA D1,University of Wisconsin,Wisconsin Badgers,"Madison, Wisconsin",Big Ten Conference
Public,NCAA D1,California Polytechnic State University at San Luis Obispo,Cal Poly Mustangs,"San Luis Obispo, California",Big West Conference
Public,NCAA D1,California State University at Bakersfield,Cal State Bakersfield Roadrunners,"Bakersfield, California",Big West Conference
Public,NCAA D1,California State University at Fullerton,Cal State Fullerton Titans,"Fullerton, California",Big West Conference
Public,NCAA D1,California State University at Long Beach,Long Beach State Beach,"Long Beach, California",Big West Conference
Public,NCAA D1,California State University at Northridge,Cal State Northridge Matadors,"Northridge, California",Big West Conference
Public,NCAA D1,University of California at Davis,UC Davis Aggies,"Davis, California",Big West Conference
Public,NCAA D1,University of California at Irvine,UC Irvine Anteaters,"Irvine, California",Big West Conference
Public,NCAA D1,University of California at Riverside,UC Riverside Highlanders,"Riverside, California",Big West Conference
Public,NCAA D1,University of California at San Diego,UC San Diego Tritons,"La Jolla, California",Big West Conference
Public,NCAA D1,University of California at Santa Barbara,UC Santa Barbara Gauchos,"Santa Barbara, California",Big West Conference
Public,NCAA D1,University of Hawaii at Manoa,Hawai'i Rainbow Warriors,"Honolulu, Hawaii",Big West Conference
Public,NCAA D1,College of Charleston,Charleston Cougars,"Charleston, South Carolina",Colonial Athletic Association
Public,NCAA D1,North Carolina A&T State University,North Carolina A&T Aggies,"Greensboro, North Carolina",Colonial Athletic Association
Public,NCAA D1,SUNY Stony Brook University,Stony Brook Seawolves,"Stony Brook, New York",Colonial Athletic Association
Public,NCAA D1,Towson University,Towson Tigers,"Towson, Maryland",Colonial Athletic Association
Public,NCAA D1,University of Delaware,Delaware Blue Hens,"Newark, Delaware",Colonial Athletic Association
Public,NCAA D1,University of North Carolina at Wilmington,UNC Wilmington Seahawks,"Wilmington, North Carolina",Colonial Athletic Association
Public,NCAA D1,William & Mary,William & Mary Tribe,"Williamsburg, Virginia",Colonial Athletic Association
Public,NCAA D1,Florida Atlantic University,Florida Atlantic Owls,"Boca Raton, Florida",Conference USA
Public,NCAA D1,Florida International University,Florida International Panthers,"Miami, Florida",Conference USA
Public,NCAA D1,Louisiana Tech University,Louisiana Tech Bulldogs,"Ruston, Louisiana",Conference USA
Public,NCAA D1,Middle Tennessee State University,Middle Tennessee Blue Raiders,"Murfreesboro, Tennessee",Conference USA
Public,NCAA D1,University of Alabama at Birmingham,UAB Blazers,"Birmingham, Alabama",Conference USA
Public,NCAA D1,University of North Carolina at Charlotte,Charlotte 49ers,"Charlotte, North Carolina",Conference USA
Public,NCAA D1,University of North Texas,North Texas Mean Green,"Denton, Texas",Conference USA
Public,NCAA D1,University of Texas at El Paso,UTEP Miners,"El Paso, Texas",Conference USA
Public,NCAA D1,University of Texas at San Antonio,UTSA Roadrunners,"San Antonio, Texas",Conference USA
Public,NCAA D1,Western Kentucky University,Western Kentucky Hilltoppers,"Bowling Green, Kentucky",Conference USA
Public,NCAA D1,Cleveland State University,Cleveland State Vikings,"Cleveland, Ohio",Horizon League
Public,NCAA D1,Indiana University-Purdue University at Indianapolis (IUPUI),IUPUI Jaguars,"Indianapolis, Indiana",Horizon League
Public,NCAA D1,Northern Kentucky University,Northern Kentucky Norse,"Highland Heights, Kentucky",Horizon League
Public,NCAA D1,Oakland University,Oakland Golden Grizzlies,"Rochester, Michigan",Horizon League
Public,NCAA D1,Purdue University at Fort Wayne,Purdue Fort Wayne Mastodons,"Fort Wayne, Indiana",Horizon League
Public,NCAA D1,University of Wisconsin at Green Bay,Green Bay Phoenix,"Green Bay, Wisconsin",Horizon League
Public,NCAA D1,University of Wisconsin at Milwaukee,Milwaukee Panthers,"Milwaukee, Wisconsin",Horizon League
Public,NCAA D1,Wright State University,Wright State Raiders,"Dayton, Ohio",Horizon League
Public,NCAA D1,Youngstown State University,Youngstown State Penguins,"Youngstown, Ohio",Horizon League
Public,NCAA D1,Chicago State University,Chicago State Cougars,"Chicago, Illinois",Independent
Public,NCAA D1,Ball State University,Ball State Cardinals,"Muncie, Indiana",Mid-American Conference
Public,NCAA D1,Bowling Green State University,Bowling Green Falcons,"Bowling Green, Ohio",Mid-American Conference
Public,NCAA D1,Central Michigan University,Central Michigan Chippewas,"Mount Pleasant, Michigan",Mid-American Conference
Public,NCAA D1,Eastern Michigan University,Eastern Michigan Eagles,"Ypsilanti, Michigan",Mid-American Conference
Public,NCAA D1,Kent State University,Kent State Golden Flashes,"Kent, Ohio",Mid-American Conference
Public,NCAA D1,Miami University,Miami (OH) RedHawks,"Oxford, Ohio",Mid-American Conference
Public,NCAA D1,Northern Illinois University,Northern Illinois Huskies,"DeKalb, Illinois",Mid-American Conference
Public,NCAA D1,Ohio University,Ohio Bobcats,"Athens, Ohio",Mid-American Conference
Public,NCAA D1,SUNY Buffalo State College,Buffalo Bulls,"Buffalo, New York",Mid-American Conference
Public,NCAA D1,University of Akron,Akron Zips,"Akron, Ohio",Mid-American Conference
Public,NCAA D1,University of Toledo,Toledo Rockets,"Toledo, Ohio",Mid-American Conference
Public,NCAA D1,Western Michigan University,Western Michigan Broncos,"Kalamazoo, Michigan",Mid-American Conference
Public,NCAA D1,Coppin State University,Coppin State Eagles,"Baltimore, Maryland",Mid-Eastern Athletic Conf.
Public,NCAA D1,Delaware State University,Delaware State Hornets,"Dover, Delaware",Mid-Eastern Athletic Conf.
Public,NCAA D1,Morgan State University,Morgan State Bears,"Baltimore, Maryland",Mid-Eastern Athletic Conf.
Public,NCAA D1,Norfolk State University,Norfolk State Spartans,"Norfolk, Virginia",Mid-Eastern Athletic Conf.
Public,NCAA D1,North Carolina Central University,North Carolina Central Eagles,"Durham, North Carolina",Mid-Eastern Athletic Conf.
Public,NCAA D1,South Carolina State University,South Carolina State Bulldogs,"Orangeburg, South Carolina",Mid-Eastern Athletic Conf.
Public,NCAA D1,University of Maryland Eastern Shore,Maryland-Eastern Shore Hawks,"Princess Anne, Maryland",Mid-Eastern Athletic Conf.
Public,NCAA D1,Illinois State University,Illinois State Redbirds,"Normal, Illinois",Missouri Valley Conference
Public,NCAA D1,Indiana State University,Indiana State Sycamores,"Terre Haute, Indiana",Missouri Valley Conference
Public,NCAA D1,Missouri State University,Missouri State Bears,"Springfield, Missouri",Missouri Valley Conference
Public,NCAA D1,Murray State University,Murray State Racers,"Murray, Kentucky",Missouri Valley Conference
Public,NCAA D1,Southern Illinois University Carbondale,Southern Illinois Salukis,"Carbondale, Illinois",Missouri Valley Conference
Public,NCAA D1,University of Illinois at Chicago,UIC Flames,"Chicago, Illinois",Missouri Valley Conference
Public,NCAA D1,University of Northern Iowa,Northern Iowa Panthers,"Cedar Falls, Iowa",Missouri Valley Conference
Public,NCAA D1,Boise State University,Boise State Broncos,"Boise, Idaho",Mountain West Conference
Public,NCAA D1,California State University at Fresno,Fresno State Bulldogs,"Fresno, California",Mountain West Conference
Public,NCAA D1,Colorado State University,Colorado State Rams,"Fort Collins, Colorado",Mountain West Conference
Public,NCAA D1,San Diego State University,San Diego State Aztecs,"San Diego, California",Mountain West Conference
Public,NCAA D1,San Jose State University,San José State Spartans,"San Jose, California",Mountain West Conference
Public,NCAA D1,United States Air Force Academy,Air Force Falcons,"USAFA, Colorado",Mountain West Conference
Public,NCAA D1,University of Nevada at Las Vegas,UNLV Rebels,"Las Vegas, Nevada",Mountain West Conference
Public,NCAA D1,University of Nevada at Reno,Nevada Wolf Pack,"Reno, Nevada",Mountain West Conference
Public,NCAA D1,University of New Mexico,New Mexico Lobos,"Albuquerque, New Mexico",Mountain West Conference
Public,NCAA D1,University of Wyoming,Wyoming Cowboys,"Laramie, Wyoming",Mountain West Conference
Public,NCAA D1,Utah State University,Utah State Aggies,"Logan, Utah",Mountain West Conference
Public,NCAA D1,Central Connecticut State University,Central Connecticut Blue Devils,"New Britain, Connecticut",Northeast Conference
Public,NCAA D1,Eastern Illinois University,Eastern Illinois Panthers,"Charleston, Illinois",Ohio Valley Conference
