,round of 64,round of 32,Sweet 16,Elite 8,Final Four,Championship
Duke Blue Devils,0.8662,0.5183,0.3298,0.1988,0.1093,0.061
American University Eagles,0.1338,0.0549,0.0225,0.0086,0.0036,0.002
Mississippi State Bulldogs,0.4797,0.14,0.0752,0.0359,0.013,0.0066
Baylor Bears,0.5203,0.2868,0.1513,0.0713,0.0279,0.0141
Oregon Ducks,0.4654,0.2117,0.1016,0.0384,0.0137,0.0046
Liberty Flames,0.5346,0.3353,0.2013,0.0921,0.0413,0.0196
Arizona Wildcats,0.7456,0.3141,0.072,0.0345,0.0099,0.0039
Akron Zips,0.2544,0.1389,0.0463,0.0197,0.0092,0.0047
BYU Cougars,0.4799,0.3362,0.2168,0.1237,0.0559,0.0307
VCU Rams,0.5201,0.2514,0.1147,0.0661,0.0315,0.0152
Wisconsin Badgers,0.4932,0.2041,0.1236,0.0607,0.0274,0.0116
Montana Grizzlies,0.5068,0.2083,0.0952,0.0527,0.024,0.0111
Saint Mary's Gaels,0.4701,0.1904,0.0936,0.0441,0.0228,0.0107
Vanderbilt Commodores,0.5299,0.2525,0.0777,0.0225,0.0078,0.0027
Alabama Crimson Tide,0.63,0.3924,0.2192,0.1086,0.0582,0.0308
Robert Morris Colonials,0.37,0.1647,0.0592,0.0223,0.006,0.0024
Florida Gators,0.4476,0.2404,0.1888,0.0882,0.0475,0.0239
Norfolk State Spartans,0.5524,0.3219,0.2124,0.0995,0.0427,0.0189
UConn Huskies,0.613,0.3052,0.2118,0.1148,0.0617,0.0326
Oklahoma Sooners,0.387,0.1325,0.0778,0.0305,0.013,0.0054
Memphis Tigers,0.5203,0.3574,0.0886,0.0326,0.0121,0.0039
Colorado State Rams,0.4797,0.2478,0.1106,0.0459,0.0165,0.0068
Maryland Terrapins,0.6967,0.2958,0.0821,0.0288,0.0076,0.0029
Grand Canyon Lopes,0.3033,0.099,0.0279,0.01,0.0043,0.0014
Missouri Tigers,0.3803,0.1622,0.1121,0.0616,0.0275,0.0138
Drake Bulldogs,0.6197,0.3604,0.2407,0.1441,0.0928,0.0456
Texas Tech Red Raiders,0.5841,0.2841,0.2471,0.1474,0.0928,0.0506
UNC Wilmington Seahawks,0.4159,0.1933,0.1296,0.0801,0.0432,0.021
Kansas Jayhawks,0.5757,0.24,0.0599,0.0204,0.0061,0.0027
Arkansas Razorbacks,0.4243,0.097,0.0163,0.0045,0.0012,0.0003
St. John's Red Storm,0.2218,0.1228,0.0331,0.0091,0.0021,0.0009
Omaha Mavericks,0.7782,0.5402,0.1612,0.0825,0.0315,0.0127
Auburn Tigers,0.7704,0.4741,0.2509,0.1778,0.098,0.0535
Alabama State Hornets,0.2296,0.0875,0.0261,0.0092,0.0035,0.0007
Louisville Cardinals,0.4997,0.2414,0.089,0.0482,0.0202,0.0061
Creighton Bluejays,0.5003,0.197,0.0691,0.0275,0.0133,0.0038
Michigan Wolverines,0.2941,0.072,0.0182,0.006,0.0014,0.0002
UC San Diego Tritons,0.7059,0.5199,0.3574,0.2456,0.1412,0.0753
Texas A&M Aggies,0.5591,0.2013,0.0943,0.049,0.0223,0.0084
Yale Bulldogs,0.4409,0.2068,0.095,0.0536,0.024,0.0116
Ole Miss Rebels,0.4177,0.2106,0.0917,0.034,0.0134,0.0044
North Carolina Tar Heels,0.5823,0.2499,0.1392,0.0615,0.0262,0.0105
Iowa State Cyclones,0.4247,0.1932,0.0932,0.0358,0.0162,0.0062
Lipscomb Bisons,0.5753,0.3463,0.2276,0.1001,0.0581,0.0296
Marquette Golden Eagles,0.6655,0.4455,0.1687,0.0695,0.0289,0.0125
New Mexico Lobos,0.3345,0.0932,0.0326,0.0081,0.003,0.0017
Michigan State Spartans,0.7668,0.3466,0.2001,0.0625,0.025,0.0066
Bryant Bulldogs,0.2332,0.1147,0.0469,0.0116,0.0027,0.0008
Houston Cougars,0.6529,0.472,0.2566,0.1526,0.0962,0.0599
SIU Edwardsville Cougars,0.3471,0.1092,0.0399,0.0178,0.0066,0.0026
Gonzaga Bulldogs,0.5703,0.2452,0.0874,0.043,0.0178,0.0098
Georgia Bulldogs,0.4297,0.1736,0.0512,0.0211,0.0108,0.0039
Clemson Tigers,0.4376,0.1801,0.1099,0.0531,0.0261,0.014
McNeese Cowboys,0.5624,0.2816,0.148,0.0718,0.0361,0.018
Purdue Boilermakers,0.5407,0.3066,0.1685,0.0763,0.0405,0.0225
High Point Panthers,0.4593,0.2317,0.1385,0.08,0.0507,0.0294
Illinois Fighting Illini,0.5051,0.2558,0.0906,0.0346,0.0139,0.0058
Texas Longhorns,0.4949,0.2807,0.1215,0.0478,0.0213,0.0074
Kentucky Wildcats,0.5739,0.3206,0.1085,0.0367,0.0151,0.0061
Troy Trojans,0.4261,0.1429,0.0496,0.0244,0.0105,0.0035
UCLA Bruins,0.3027,0.1113,0.0531,0.0225,0.0097,0.0047
Utah State Aggies,0.6973,0.3929,0.2597,0.1406,0.087,0.0523
Tennessee Volunteers,0.5233,0.2671,0.1724,0.0977,0.0513,0.0273
Wofford Terriers,0.4767,0.2287,0.1446,0.08,0.0449,0.0258
