,team_name,opponent_name,conference,home,away,neutral,offensive_efficiency,adjusted_offensive_efficiency
0,Mount St. Mary's Mountaineers,Arizona Wildcats,NEC,0,1,0,0.82696,1.0471651880188177
1,Arizona Wildcats,Mount St. Mary's Mountaineers,Pac-12,1,0,0,1.23106,1.1443660671381048
2,Northern Kentucky Norse,Wisconsin Badgers,ASUN,0,1,0,0.54547,0.7086297442725693
3,Wisconsin Badgers,Northern Kentucky Norse,Big Ten,1,0,0,1.11736,0.9018452362308025
4,North Carolina Central Eagles,North Carolina Tar Heels,MEAC,0,1,0,0.87096,1.0553943620503883
5,North Carolina Tar Heels,North Carolina Central Eagles,ACC,1,0,0,1.09649,1.0055860088258275
6,UC Santa Barbara Gauchos,Kansas Jayhawks,Big West,0,1,0,0.87597,1.0061504223943125
7,Kansas Jayhawks,UC Santa Barbara Gauchos,Big 12,1,0,0,1.02561,0.9217665292365398
8,Virginia Cavaliers,James Madison Dukes,ACC,0,1,0,1.24233,1.1205946490674046
9,James Madison Dukes,Virginia Cavaliers,CAA,1,0,0,0.79386,0.9680781289863782
10,New Mexico State Aggies,Wichita State Shockers,WAC,0,1,0,0.8702,1.088742128185728
11,Wichita State Shockers,New Mexico State Aggies,MVC,1,0,0,1.1032,1.1110035491005106
12,Lehigh Mountain Hawks,Villanova Wildcats,Patriot,0,0,1,0.92406,1.0970292264350174
13,Villanova Wildcats,Lehigh Mountain Hawks,Big East,0,0,1,1.12085,1.051973625813312
14,Sacramento State Hornets,Gonzaga Bulldogs,Big Sky,0,1,0,0.76671,0.8935855158779207
15,Gonzaga Bulldogs,Sacramento State Hornets,WCC,1,0,0,1.40547,1.2265451714353095
16,Bryant Bulldogs,UConn Huskies,NEC,0,1,0,0.84572,0.9599027567914398
17,UConn Huskies,Bryant Bulldogs,American,1,0,0,1.07691,0.9528137236595652
18,UMass Lowell River Hawks,Ohio State Buckeyes,AM. EAST,0,1,0,0.87763,1.0683547614431355
19,Ohio State Buckeyes,UMass Lowell River Hawks,Big Ten,1,0,0,1.48349,1.319942066422547
20,Lamar Cardinals,SMU Mustangs,Southland,0,1,0,0.93439,1.0498730100281466
21,SMU Mustangs,Lamar Cardinals,American,1,0,0,1.49314,1.3996072159713155
22,Ball State Cardinals,Utah Utes,MAC,0,1,0,1.1241,1.235350003379039
23,Utah Utes,Ball State Cardinals,Pac-12,1,0,0,1.38683,1.2591702029867249
24,Texas Southern Tigers,Eastern Washington Eagles,SWAC,0,1,0,0.92739,0.9820175440621889
25,Eastern Washington Eagles,Texas Southern Tigers,Big Sky,1,0,0,1.25116,1.1484625526449237
26,The Citadel Bulldogs,VMI Keydets,Southern,0,0,1,1.15386,1.0612391839746333
27,VMI Keydets,The Citadel Bulldogs,Southern,0,0,1,1.1315,0.9058725109228121
28,Central Connecticut Blue Devils,Fairfield Stags,NEC,0,0,1,1.03249,1.0763183450430567
29,Fairfield Stags,Central Connecticut Blue Devils,MAAC,0,0,1,1.15995,1.0689031188441132
30,Yale Bulldogs,Quinnipiac Bobcats,Ivy,0,1,0,1.11908,1.138063611864056
31,Quinnipiac Bobcats,Yale Bulldogs,MAAC,1,0,0,1.20297,1.2599812173408973
32,Presbyterian Blue Hose,Duke Blue Devils,Big South,0,1,0,0.69613,0.8434161699719395
33,Duke Blue Devils,Presbyterian Blue Hose,ACC,1,0,0,1.72999,1.4742575295814975
34,William & Mary Tribe,Florida Gators,CAA,0,1,0,0.71066,0.8551713167674122
35,Florida Gators,William & Mary Tribe,SEC,1,0,0,1.11373,0.9707216964902157
36,Western Carolina Catamounts,Mississippi State Bulldogs,Southern,0,0,1,0.96578,0.9810752047931385
37,Mississippi State Bulldogs,Western Carolina Catamounts,SEC,0,0,1,1.15975,1.0470291899278403
38,Tennessee Volunteers,VCU Rams,SEC,0,0,1,0.96451,0.974003519726476
39,VCU Rams,Tennessee Volunteers,A-10,0,0,1,1.18689,1.1992090912425437
40,Boise State Broncos,San Diego Toreros,Mountain West,0,0,1,1.18239,1.2433608813166537
41,San Diego Toreros,Boise State Broncos,WCC,0,0,1,1.07967,1.0931035861532215
42,Savannah State Tigers,Eastern Kentucky Colonels,MEAC,0,1,0,0.74808,0.8619915804634665
43,Eastern Kentucky Colonels,Savannah State Tigers,OVC,1,0,0,1.08447,1.0364062313771365
44,Belmont Bruins,Wright State Raiders,OVC,0,1,0,1.00658,1.0067807604803156
45,Wright State Raiders,Belmont Bruins,Horizon,1,0,0,1.04053,0.9708899044310347
46,Morgan State Bears,Penn State Nittany Lions,MEAC,0,0,1,0.80283,0.9816044776531462
47,Penn State Nittany Lions,Morgan State Bears,Big Ten,0,0,1,0.99098,0.8240058697725696
48,Mississippi Valley State Delta Devils,Indiana Hoosiers,SWAC,0,1,0,0.84382,0.9421123790319228
49,Indiana Hoosiers,Mississippi Valley State Delta Devils,Big Ten,1,0,0,1.52413,1.2434972115560565
50,Jacksonville State Gamecocks,Marshall Thundering Herd,OVC,0,1,0,0.85154,0.8541890316794142
51,Marshall Thundering Herd,Jacksonville State Gamecocks,CUSA,1,0,0,1.14776,1.050422086148159
52,Columbia Lions,Stony Brook Seawolves,Ivy,0,1,0,1.01063,1.0451609773650956
53,Stony Brook Seawolves,Columbia Lions,AM. EAST,1,0,0,1.0373,1.0421278164798529
54,Fairleigh Dickinson Knights,Saint Joseph's Hawks,NEC,0,1,0,1.04672,1.1417676062060278
55,Saint Joseph's Hawks,Fairleigh Dickinson Knights,A-10,1,0,0,1.00363,0.8707830544068258
56,Alabama A&M Bulldogs,Dayton Flyers,SWAC,0,1,0,0.87478,1.0731420636666698
57,Dayton Flyers,Alabama A&M Bulldogs,A-10,1,0,0,1.28184,1.1045898979288964
58,Grambling Tigers,George Washington Revolutionaries,SWAC,0,1,0,0.62152,0.8110825117483407
59,George Washington Revolutionaries,Grambling Tigers,A-10,1,0,0,1.41849,1.1980583550620043
60,Samford Bulldogs,Purdue Boilermakers,Southern,0,1,0,0.5966,0.640901996932567
61,Purdue Boilermakers,Samford Bulldogs,Big Ten,1,0,0,1.21406,1.0257971178552185
62,Charleston Southern Buccaneers,Ole Miss Rebels,Big South,0,0,1,0.89425,0.9734741760674941
63,Ole Miss Rebels,Charleston Southern Buccaneers,SEC,0,0,1,0.86717,0.7206981475468499
64,Kennesaw State Owls,Syracuse Orange,ASUN,0,1,0,0.60229,0.7711895724265309
65,Syracuse Orange,Kennesaw State Owls,ACC,1,0,0,1.3282,1.1055722572994475
66,North Florida Ospreys,South Carolina Gamecocks,ASUN,0,1,0,0.84492,0.9986750808180413
67,South Carolina Gamecocks,North Florida Ospreys,SEC,1,0,0,1.25111,1.12392102019483
68,Jackson State Tigers,NC State Wolfpack,SWAC,0,1,0,0.80427,0.9837825627583673
69,NC State Wolfpack,Jackson State Tigers,ACC,1,0,0,1.30771,1.1636128785190163
70,Howard Bison,Miami Hurricanes,MEAC,0,1,0,0.73717,0.8897965041351741
71,Miami Hurricanes,Howard Bison,ACC,1,0,0,1.25,1.1509596824912578
72,UNC Asheville Bulldogs,Wake Forest Demon Deacons,Big South,0,1,0,0.91771,0.9730720163904549
73,Wake Forest Demon Deacons,UNC Asheville Bulldogs,ACC,1,0,0,1.09938,0.9419980535152183
74,Georgia Bulldogs,Georgia Tech Yellow Jackets,SEC,0,1,0,1.0674,1.0830933269182754
75,Georgia Tech Yellow Jackets,Georgia Bulldogs,ACC,1,0,0,1.15934,1.1450366346946188
76,Florida A&M Rattlers,Clemson Tigers,MEAC,0,1,0,0.62076,0.8052603475094692
77,Clemson Tigers,Florida A&M Rattlers,ACC,1,0,0,1.30893,1.0461806628407728
78,New Hampshire Wildcats,Boston College Eagles,AM. EAST,0,1,0,0.77969,0.8651220534775599
79,Boston College Eagles,New Hampshire Wildcats,ACC,1,0,0,0.91707,0.8127238920373328
80,Maryland Eastern Shore Hawks,Virginia Tech Hokies,MEAC,0,1,0,0.80614,0.877210330054388
81,Virginia Tech Hokies,Maryland Eastern Shore Hawks,ACC,1,0,0,1.28044,1.1060717336651662
82,Lafayette Leopards,Robert Morris Colonials,Patriot,0,1,0,1.24702,1.2352539324753464
83,Robert Morris Colonials,Lafayette Leopards,NEC,1,0,0,0.84168,0.7444167763254583
84,Long Beach State Beach,BYU Cougars,Big West,0,1,0,1.2207,1.234662819210343
85,BYU Cougars,Long Beach State Beach,WCC,1,0,0,1.29323,1.2270352171202672
86,Siena Saints,Massachusetts Minutemen,MAAC,0,1,0,1.13736,1.1674907437440676
87,Massachusetts Minutemen,Siena Saints,A-10,1,0,0,1.25454,1.1036831965227663
88,Rider Broncs,Princeton Tigers,MAAC,0,1,0,0.97825,0.9547806139302502
89,Princeton Tigers,Rider Broncs,Ivy,1,0,0,1.07875,1.076193237921972
90,Niagara Purple Eagles,Pittsburgh Panthers,MAAC,0,1,0,0.77148,0.7793470929859418
