espn_name,adj_efficiency_margin
Duke Blue Devils,0.31225534122665205
Houston Cougars,0.30773594809723565
Auburn Tigers,0.2565508562262722
Gonzaga Bulldogs,0.25405889748411126
Florida Gators,0.24741989498917916
Tennessee Volunteers,0.2472423884988559
Texas Tech Red Raiders,0.22767942944837208
VCU Rams,0.2166798312726752
Saint Mary's Gaels,0.21641842607401696
Iowa State Cyclones,0.21384101131847139
UC San Diego Tritons,0.20654304400995283
Illinois Fighting Illini,0.20055005564638614
Maryland Terrapins,0.19776264828123247
St. John's Red Storm,0.19669013796813117
Missouri Tigers,0.19445596022956588
Arizona Wildcats,0.18771608733747702
Michigan State Spartans,0.18702075709019705
Yale Bulldogs,0.18235993789353802
UCLA Bruins,0.1775527266358716
Purdue Boilermakers,0.17735729406389716
Boise State Broncos,0.16634035431634595
Wisconsin Badgers,0.16427691368128217
Lipscomb Bisons,0.16391483120877715
Clemson Tigers,0.162469159403122
Texas Longhorns,0.1620954634833673
SMU Mustangs,0.16200158132695386
Alabama Crimson Tide,0.15989656736594396
Michigan Wolverines,0.15965758264110433
BYU Cougars,0.158736987207225
Drake Bulldogs,0.15827428899792972
Ole Miss Rebels,0.15746352059464838
Utah State Aggies,0.15651359501002338
New Mexico Lobos,0.1533503557410659
UC Irvine Anteaters,0.14954947189550047
Kansas Jayhawks,0.14895534163639948
McNeese Cowboys,0.1482335798387822
Liberty Flames,0.1480980114490536
UConn Huskies,0.1459744647671752
High Point Panthers,0.1444644313037884
North Texas Mean Green,0.1397175685360636
Texas A&M Aggies,0.13906594502871525
George Mason Patriots,0.13668478472205575
Marquette Golden Eagles,0.1366424428354307
Vanderbilt Commodores,0.13526005594848514
Samford Bulldogs,0.13030450571653202
Louisville Cardinals,0.1294668385323769
Kentucky Wildcats,0.1279436364146129
San Francisco Dons,0.1268642118689259
Akron Zips,0.12327268314641218
Baylor Bears,0.1217887015914097
Oregon State Beavers,0.12132000512171444
UNC Wilmington Seahawks,0.11937408521079478
Grand Canyon Lopes,0.11418344160401915
Creighton Bluejays,0.11279828564028445
Arkansas State Red Wolves,0.11089390255565236
Bradley Braves,0.11078166295192254
Mississippi State Bulldogs,0.10981469950485868
Santa Clara Broncos,0.10961218019661105
Arkansas Razorbacks,0.1061457364166258
Pittsburgh Panthers,0.10533708722891157
Villanova Wildcats,0.10438965526489319
Georgia Bulldogs,0.10385937439705364
North Alabama Lions,0.10347827662802463
Penn State Nittany Lions,0.10294671811503886
Cal State Northridge Matadors,0.10204698487236395
